groupname,nicename,FG,cost,TL
MonkSeals,Monk seals,MS,0,4.307464
SpinnerD,Spinner dolphins,SPD,0,4.361084
BottlenoseD,Bottlenose dolphins,BND,0,4.375616
GreenTurtles,Green sea turtle,GT,0,2.114074
HawksbillT,Hawksbill turtles,HT,0,2.129529
R_Coralliv,Corallivores,RCO,0.5,2.490915
R_Browser,Herbivore browsers,RBR,2.755,2.135195
R_Grazer,Herbivore grazers,RGR,1.8,2.128809
Parrotfish,Parrotfishes,RPA,3.43,2.0326
R_BenthPisc,Benthic piscivores,RBP,3.002,3.700626
R_BenthCarn,Benthic carnivores,RBC,4.088,3.361076
R_LargePlankt,Large planktivores,RLP,2.565,3.474376
R_SmallPlankt,Small planktivores,RSP,3.25,3.266385
R_Other,Other reef fish,ROF,1.555,3.209435
D_BenthPisc,Benthopelagic piscivores,MBP,2.45,4.150523
M_BenthCarn,Benthic carnivores,MBC,1.35,3.512701
M_Plankt,Planktivores,MPL,1.35,3.384209
S_BenthCarn,Benthic carnivores,SBC,1.35,3.536695
S_Plankt,Planktivores,SPL,1.35,3.78458
PreyFish,Scads,SHP,2.7,3.521004
MesoPelScatter,Planktivorous micronekton,MSL,0,3.334107
BFW_group,Water column-associated bottomfish,BFW,5.1,3.878941
BFB_group,Substrated-associated bottomfish,BFB,4.14,4.115641
Uku,Uku,UKU,3.92,3.6024
RovPisc,Roving piscivores,PIS,2.736,4.152909
Sharks&Rays,Sharks and rays,SHR,0.5,4.256607
MantaRay,Manta rays,RAY,0,3.653417
Lobster,"Large crab, lobster, heterocarpus ",LOB,8.385,3.079431
BenthCarn,Carnivorous benthos,BC,1,3.174813
BenthDetr,Detritivorous benthos,BD,1,2.23303
BenthGrazer,Herbivorous macrobenthos,BG,1,2.006129
Octopus,Octopus,OCT,3.98,3.666839
BenthMeio,Meiofauna,BM,0,2.440818
Infauna,Infauna,INF,0,2.111111
Deep_FilterFeed,Deep filter feeders,DFF,1,2.1
Bivalves,"Bivalves, clams, oysters, brittle stars ",BIV,1,2.363961
ShallowFilterFeed,"Sponges, tunicates, octocoral, gorgonians, zoanthids",BFF,1,2.1
Porites_mass,Porites massive,PRM,0,1.4432
Porites_branch,Porites branching,PRB,0,1.4432
Montipora,Montipora,MON,0,1.4432
Pocillopora,Pocillopora,POC,0,1.4432
Leptoseris,Leptoseris,LEP,0,2.1
CCA,Crustose coralline algae,CCA,0,1
Turf,Turf algae,TRF,0,1
MA_Fleshy,Macroalgae fleshy,MAF,1,1
MA_Calc,Macroalgae calcareous,MAC,0,1
LargePhyto,Large phytoplankton,PL,0,1
SmallPhyto,Small phytoplankton,PS,0,1
Squid,Squid,CEP,2.19,3.458553
LargeZoo,Large zooplankton,ZL,0,2.989604
MedZoo,Meso zooplankton,ZM,0,2.1
SmallZoo,Small zooplankton,ZS,0,2
GelatZoo,Gelatinous zooplankton,ZG,0,2.328464
Detritus ,Detritus ,DET,0,1
